BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2460366.651759,1.00077,0.00180,1.5722,0.10,0.30,11.96,105005
2460366.652049,0.99924,0.00178,1.5705,-0.85,0.31,12.02,115363
2460366.652339,1.00465,0.00180,1.5689,-0.72,0.50,11.83,113778
2460366.652640,1.00278,0.00181,1.5672,-0.39,-0.07,11.76,106655
2460366.652930,1.00055,0.00179,1.5656,-0.27,0.17,11.68,115091
2460366.653220,1.00314,0.00178,1.5640,-0.33,0.33,12.00,123536
2460366.653521,1.00000,0.00177,1.5624,-0.49,0.29,11.79,116965
2460366.653811,0.99968,0.00179,1.5608,-0.56,0.09,11.70,106908
2460366.654402,0.99822,0.00180,1.5576,-0.38,0.08,11.87,99657
2460366.654702,0.99852,0.00176,1.5560,-0.54,-0.12,11.84,113396
2460366.654992,1.00011,0.00177,1.5544,-0.68,0.04,11.85,114063
2460366.655282,1.00576,0.00178,1.5529,0.12,0.01,12.05,110688
2460366.655583,0.99693,0.00175,1.5513,-0.27,0.29,11.70,118366
2460366.655873,1.00101,0.00175,1.5498,0.06,0.29,11.75,121368
2460366.656163,0.99356,0.00174,1.5483,-0.41,-0.10,11.70,116204
2460366.656464,0.99381,0.00171,1.5468,-0.52,0.00,11.88,131194
2460366.656754,1.00178,0.00172,1.5452,0.06,0.12,11.95,135377
2460366.657056,1.00102,0.00172,1.5437,-0.40,0.20,11.82,135445
2460366.657345,1.00348,0.00172,1.5422,-0.04,0.22,11.95,132793
2460366.657647,1.00131,0.00171,1.5407,0.04,-0.34,12.11,142814
2460366.657936,0.99830,0.00170,1.5393,-0.62,0.25,11.90,132481
2460366.658226,1.00110,0.00170,1.5378,-0.39,0.20,12.13,140316
2460366.658528,1.00253,0.00170,1.5364,-0.02,0.28,11.87,138056
2460366.658817,0.99973,0.00170,1.5349,-0.06,0.20,12.04,139144
2460366.659119,1.00355,0.00170,1.5335,-0.14,0.33,12.25,137341
2460366.659408,0.99645,0.00169,1.5320,0.10,0.23,11.98,143086
2460366.659710,1.00128,0.00169,1.5306,-0.14,-0.02,12.11,148292
2460366.660000,1.00344,0.00169,1.5292,-0.56,0.04,12.34,135427
2460366.660301,0.99921,0.00168,1.5278,-0.05,0.15,12.31,141262
2460366.660591,1.00242,0.00169,1.5264,-0.03,0.13,12.03,147697
2460366.660892,1.00166,0.00168,1.5250,0.11,-0.06,11.99,153305
2460366.661193,0.99660,0.00167,1.5236,0.24,0.19,11.83,147120
2460366.661483,1.00199,0.00168,1.5222,-0.10,0.05,11.99,142882
2460366.661785,1.00111,0.00167,1.5208,-0.21,0.16,11.93,138488
2460366.662086,0.99915,0.00167,1.5195,0.03,0.03,12.04,144753
2460366.662376,1.00290,0.00167,1.5182,0.20,0.10,12.03,148533
2460366.662666,1.00115,0.00167,1.5168,0.28,0.16,11.80,146935
2460366.662967,1.00056,0.00167,1.5155,0.32,0.17,11.80,146786
2460366.663257,0.99954,0.00166,1.5142,0.10,-0.18,12.18,140484
2460366.663547,0.99920,0.00166,1.5129,0.30,0.04,12.07,147901
2460366.663848,1.00243,0.00166,1.5116,0.16,-0.03,12.01,147455
2460366.664138,1.00310,0.00166,1.5103,0.10,0.17,12.06,144616
2460366.664439,1.00218,0.00166,1.5090,0.19,0.08,11.86,152177
2460366.664729,1.00258,0.00165,1.5077,0.33,-0.00,11.99,154420
2460366.665030,0.99963,0.00165,1.5064,0.42,0.01,12.46,138117
2460366.665320,1.00273,0.00165,1.5052,0.38,-0.04,11.97,148583
2460366.665610,1.00106,0.00165,1.5039,0.14,-0.01,12.07,143334
2460366.665911,0.99807,0.00164,1.5027,0.20,0.09,12.31,137986
2460366.666213,1.00035,0.00164,1.5014,0.63,-0.04,12.26,147560
2460366.666503,1.00313,0.00164,1.5002,0.41,-0.01,12.20,149859
2460366.666850,1.00005,0.00163,1.4988,0.07,-0.24,11.98,153522
2460366.667140,1.00080,0.00163,1.4976,0.55,0.08,12.09,150504
2460366.667441,0.99905,0.00163,1.4964,0.43,0.00,11.98,160605
2460366.667731,1.00444,0.00163,1.4952,0.39,0.12,12.28,145268
2460366.668033,0.99988,0.00162,1.4940,0.33,0.05,12.34,139796
2460366.668322,1.00097,0.00163,1.4928,0.66,-0.09,12.16,148332
2460366.668624,1.00074,0.00162,1.4916,0.49,-0.08,11.95,144555
2460366.668914,1.00141,0.00162,1.4905,0.45,0.05,11.97,145887
2460366.669215,0.99813,0.00162,1.4893,0.29,-0.14,12.08,156348
2460366.669505,1.00205,0.00162,1.4882,0.42,0.09,12.24,143068
2460366.669806,1.00067,0.00162,1.4870,0.48,0.22,11.77,149525
2460366.670096,0.99884,0.00161,1.4859,0.67,0.01,11.94,154160
2460366.670386,0.99978,0.00161,1.4848,0.56,-0.12,11.71,154417
2460366.670687,1.00051,0.00161,1.4837,0.40,0.14,12.12,141859
2460366.670988,0.99968,0.00162,1.4825,0.56,-0.24,12.06,145651
2460366.671278,1.00255,0.00162,1.4814,0.59,0.03,12.29,138376
2460366.671580,1.00258,0.00161,1.4803,0.54,0.01,12.43,136282
2460366.671881,1.00361,0.00161,1.4792,0.57,-0.01,12.38,135761
2460366.672171,0.99821,0.00160,1.4782,0.60,-0.09,12.07,148072
2460366.672472,0.99841,0.00161,1.4771,0.68,0.01,12.14,135519
2460366.672762,0.99985,0.00161,1.4760,0.68,-0.01,12.20,132832
2460366.673063,0.99948,0.00160,1.4749,0.46,0.12,11.94,137113
2460366.673365,0.99656,0.00159,1.4739,0.52,0.01,12.25,142265
2460366.673655,1.00041,0.00160,1.4728,0.40,0.08,12.19,131491
2460366.673956,0.99854,0.00159,1.4718,0.64,0.03,12.26,147479
2460366.674246,1.00131,0.00159,1.4708,0.50,-0.19,12.48,145967
2460366.674547,0.99983,0.00159,1.4698,0.93,0.07,12.68,139494
2460366.674837,1.00027,0.00158,1.4688,0.85,0.15,12.47,144459
2460366.675138,0.99903,0.00158,1.4678,0.31,-0.23,11.98,149542
2460366.675428,1.00023,0.00158,1.4667,0.27,0.16,11.99,140242
2460366.675729,0.99777,0.00158,1.4658,0.26,-0.25,12.22,148548
2460366.676031,0.99850,0.00159,1.4648,-0.42,-0.48,12.37,133591
2460366.676320,0.99116,0.00160,1.4638,-0.84,0.03,12.35,114626
2460366.676622,1.00303,0.00160,1.4628,0.25,0.70,12.54,123021
2460366.676912,1.00143,0.00158,1.4618,0.63,0.04,12.62,142705
2460366.677213,1.00155,0.00158,1.4609,0.50,-0.07,12.31,137206
2460366.677514,1.00447,0.00161,1.4599,0.48,0.07,12.30,119284
2460366.677804,1.00185,0.00169,1.4590,0.44,0.06,12.02,85883
2460366.678094,1.00916,0.00164,1.4581,0.99,-1.11,12.24,106477
2460366.678395,1.00170,0.00158,1.4571,0.51,-0.48,12.41,135618
2460366.678685,1.00216,0.00157,1.4562,0.40,-0.32,12.24,155159
2460366.678986,0.99914,0.00156,1.4553,0.37,0.06,12.57,145954
2460366.679276,1.00055,0.00156,1.4544,0.40,-0.11,12.42,148796
2460366.679577,1.00034,0.00156,1.4535,0.51,-0.12,12.34,156478
2460366.679867,1.00060,0.00156,1.4526,0.84,-0.07,12.12,159977
2460366.680169,0.99932,0.00155,1.4517,0.59,0.08,12.44,153666
2460366.680459,1.00147,0.00155,1.4509,0.68,-0.04,12.39,150464
2460366.680760,0.99699,0.00156,1.4500,-0.89,-0.47,12.33,137757
2460366.681050,0.99560,0.00160,1.4491,0.45,-0.98,12.20,116472
2460366.681351,1.00080,0.00157,1.4483,0.11,0.09,12.34,131843
2460366.681641,0.99545,0.00156,1.4474,0.47,-0.46,12.29,134117
2460366.681931,1.00135,0.00156,1.4466,0.46,-0.01,12.41,148949
2460366.682232,1.00351,0.00155,1.4458,0.38,0.17,12.20,152236
2460366.682522,1.00035,0.00154,1.4449,0.46,-0.09,12.74,146065
2460366.682823,1.00175,0.00155,1.4441,0.53,-0.09,12.28,155801
2460366.683125,1.00396,0.00155,1.4433,0.78,-0.14,12.18,144594
2460366.683415,1.00119,0.00154,1.4425,0.65,0.01,12.17,158340
2460366.683704,0.99960,0.00154,1.4417,0.39,0.03,12.26,151372
2460366.684006,1.00077,0.00154,1.4409,0.62,0.01,12.48,141697
2460366.684296,1.00114,0.00154,1.4401,0.50,0.08,12.39,148444
2460366.684597,0.99995,0.00154,1.4393,0.33,0.06,12.15,152521
2460366.684898,0.99920,0.00154,1.4385,0.41,0.13,12.17,145434
2460366.685188,0.99899,0.00153,1.4378,0.63,-0.04,12.21,156030
2460366.685478,1.00184,0.00153,1.4370,0.67,-0.02,12.32,159143
2460366.685779,1.00108,0.00153,1.4363,0.49,0.01,12.21,156790
2460366.686069,0.99970,0.00153,1.4355,0.70,0.21,11.95,164030
2460366.686370,1.00043,0.00153,1.4348,0.37,-0.15,12.08,165655
2460366.686660,0.99908,0.00153,1.4340,0.64,-0.13,12.25,158513
2460366.686962,0.99730,0.00152,1.4333,0.59,0.01,12.29,153373
2460366.687251,0.99718,0.00152,1.4326,0.36,0.07,12.22,159798
2460366.687541,1.00147,0.00152,1.4319,0.57,-0.08,12.36,162727
2460366.687843,0.99990,0.00152,1.4312,0.31,-0.07,12.25,158882
2460366.688144,0.99963,0.00152,1.4305,0.47,0.01,11.80,159396
2460366.688434,0.99875,0.00152,1.4298,0.46,-0.12,12.52,154016
2460366.688734,0.99885,0.00153,1.4291,0.41,-0.01,12.07,144427
2460366.689024,0.99858,0.00152,1.4284,0.43,-0.12,12.00,157926
2460366.689314,0.99977,0.00152,1.4277,0.34,0.09,12.24,157104
2460366.689615,1.00197,0.00152,1.4270,0.54,0.14,12.11,151193
2460366.689905,1.00244,0.00151,1.4264,0.46,0.09,12.02,162412
2460366.690195,0.99924,0.00151,1.4257,0.52,-0.11,12.41,154998
2460366.690496,1.00027,0.00151,1.4251,0.47,-0.22,12.28,165840
2460366.690786,0.99776,0.00150,1.4244,0.55,0.08,12.14,168645
